Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
TFF2,7032,Trefoil factor 2,890 ng/L,890
FABP6,2172,Fatty acid binding protein 6,890 ng/L,890
KIRREL1,55243,Kirre like nephrin family adhesion molecule 1,890 ng/L,890
MRI1,84245,Methylthioribose-1-phosphate isomerase 1,880 ng/L,880
MAP4,4134,Microtubule associated protein 4,880 ng/L,880
RPS5,6193,Ribosomal protein S5,880 ng/L,880
LFNG,3955,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,880 ng/L,880
MLEC,9761,Malectin,880 ng/L,880
SKP1,6500,S-phase kinase associated protein 1,880 ng/L,880
SET,6418,SET nuclear proto-oncogene,880 ng/L,880
CD1D,912,CD1d molecule,880 ng/L,880
PPP1R14A,94274,Protein phosphatase 1 regulatory inhibitor subunit 14A,880 ng/L,880
STXBP2,6813,Syntaxin binding protein 2,870 ng/L,870
CDH15,1013,Cadherin 15,870 ng/L,870
CDH8,1006,Cadherin 8,870 ng/L,870
HCLS1,3059,Hematopoietic cell-specific Lyn substrate 1,870 ng/L,870
PAFAH1B1,5048,Platelet activating factor acetylhydrolase 1b regulatory subunit 1,860 ng/L,860
ST3GAL1,6482,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",860 ng/L,860
RPL22,6146,Ribosomal protein L22,860 ng/L,860
KISS1,3814,KiSS-1 metastasis suppressor,860 ng/L,860
SEPTIN5,5413,Septin 5,860 ng/L,860
PABPC4,8761,Poly(A) binding protein cytoplasmic 4,850 ng/L,850
GFUS,7264,GDP-L-fucose synthase,850 ng/L,850
PDE5A,8654,Phosphodiesterase 5A,850 ng/L,850
PKD1,5310,"Polycystin 1, transient receptor potential channel interacting",840 ng/L,840
EEF1B2,1933,Eukaryotic translation elongation factor 1 beta 2,840 ng/L,840
PCK1,5105,Phosphoenolpyruvate carboxykinase 1,840 ng/L,840
EMILIN2,84034,Elastin microfibril interfacer 2,840 ng/L,840
RGS10,6001,Regulator of G protein signaling 10,840 ng/L,840
GORASP2,26003,Golgi reassembly stacking protein 2,830 ng/L,830
HMGCS2,3158,3-hydroxy-3-methylglutaryl-CoA synthase 2,830 ng/L,830
MYOM3,127294,Myomesin 3,830 ng/L,830
PDXK,8566,Pyridoxal kinase,830 ng/L,830
NEMF,9147,Nuclear export mediator factor,830 ng/L,830
FYN,2534,"FYN proto-oncogene, Src family tyrosine kinase",820 ng/L,820
HIBADH,11112,3-hydroxyisobutyrate dehydrogenase,820 ng/L,820
LHPP,64077,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,820 ng/L,820
CRISP2,7180,Cysteine rich secretory protein 2,820 ng/L,820
TXNDC17,84817,Thioredoxin domain containing 17,820 ng/L,820
DPYS,1807,Dihydropyrimidinase,820 ng/L,820
PLBD2,196463,Phospholipase B domain containing 2,820 ng/L,820
ATP5PF,522,ATP synthase peripheral stalk subunit F6,820 ng/L,820
GNPDA2,132789,Glucosamine-6-phosphate deaminase 2,820 ng/L,820
RPS7,6201,Ribosomal protein S7,820 ng/L,820
COL5A2,1290,Collagen type V alpha 2 chain,820 ng/L,820
LIPG,9388,"Lipase G, endothelial type",810 ng/L,810
XPNPEP1,7511,X-prolyl aminopeptidase 1,810 ng/L,810
GMFG,9535,Glia maturation factor gamma,810 ng/L,810
SERBP1,26135,SERPINE1 mRNA binding protein 1,810 ng/L,810
MEPE,56955,Matrix extracellular phosphoglycoprotein,810 ng/L,810
TGFBR2,7048,Transforming growth factor beta receptor 2,810 ng/L,810
LRPAP1,4043,LDL receptor related protein associated protein 1,810 ng/L,810
RPS14,6208,Ribosomal protein S14,810 ng/L,810
BID,637,BH3 interacting domain death agonist,800 ng/L,800
TGFB1I1,7041,Transforming growth factor beta 1 induced transcript 1,800 ng/L,800
GNAQ,2776,G protein subunit alpha q,800 ng/L,800
CADM3,57863,Cell adhesion molecule 3,800 ng/L,800
SCGB3A2,117156,Secretoglobin family 3A member 2,800 ng/L,800
UBE2V2,7336,Ubiquitin conjugating enzyme E2 V2,800 ng/L,800
SEMA3B,7869,Semaphorin 3B,790 ng/L,790
IPO5,3843,Importin 5,790 ng/L,790
TNFSF13B,10673,TNF superfamily member 13b,790 ng/L,790
NCAN,1463,Neurocan,790 ng/L,790
GSTM3,2947,Glutathione S-transferase mu 3,790 ng/L,790
HDGF,3068,Heparin binding growth factor,790 ng/L,790
LEAP2,116842,Liver enriched antimicrobial peptide 2,790 ng/L,790
ATOX1,475,Antioxidant 1 copper chaperone,790 ng/L,790
QPRT,23475,Quinolinate phosphoribosyltransferase,780 ng/L,780
RPLP0,6175,Ribosomal protein lateral stalk subunit P0,770 ng/L,770
PTPN12,5782,Protein tyrosine phosphatase non-receptor type 12,770 ng/L,770
ANP32A,8125,Acidic nuclear phosphoprotein 32 family member A,770 ng/L,770
DDR2,4921,Discoidin domain receptor tyrosine kinase 2,770 ng/L,770
SEPTIN9,10801,Septin 9,770 ng/L,770
SERPINB5,5268,Serpin family B member 5,770 ng/L,770
LYN,4067,"LYN proto-oncogene, Src family tyrosine kinase",770 ng/L,770
CPVL,54504,Carboxypeptidase vitellogenic like,760 ng/L,760
NT5C,30833,"5', 3'-nucleotidase, cytosolic",760 ng/L,760
ADIRF,10974,Adipogenesis regulatory factor,760 ng/L,760
MXRA8,54587,Matrix remodeling associated 8,760 ng/L,760
ARPC1A,10552,Actin related protein 2/3 complex subunit 1A,760 ng/L,760
EIF4H,7458,Eukaryotic translation initiation factor 4H,750 ng/L,750
GCNT2,2651,Glucosaminyl (N-acetyl) transferase 2 (I blood group),750 ng/L,750
LDB3,11155,LIM domain binding 3,750 ng/L,750
SUMF2,25870,Sulfatase modifying factor 2,750 ng/L,750
SERPINI1,5274,Serpin family I member 1,750 ng/L,750
LRRC59,55379,Leucine rich repeat containing 59,740 ng/L,740
P3H3,10536,Prolyl 3-hydroxylase 3,740 ng/L,740
DPYSL3,1809,Dihydropyrimidinase like 3,740 ng/L,740
ADAM9,8754,ADAM metallopeptidase domain 9,740 ng/L,740
GLDC,2731,Glycine decarboxylase,740 ng/L,740
RPL10A,4736,Ribosomal protein L10a,740 ng/L,740
GDF2,2658,Growth differentiation factor 2,740 ng/L,740
RPN1,6184,Ribophorin I,730 ng/L,730
RPS28,6234,Ribosomal protein S28,730 ng/L,730
ECH1,1891,Enoyl-CoA hydratase 1,720 ng/L,720
ESYT1,23344,Extended synaptotagmin 1,720 ng/L,720
NRXN3,9369,Neurexin 3,710 ng/L,710
KHSRP,8570,KH-type splicing regulatory protein,710 ng/L,710
SIL1,64374,SIL1 nucleotide exchange factor,710 ng/L,710
ROCK2,9475,Rho associated coiled-coil containing protein kinase 2,710 ng/L,710
RPL12,6136,Ribosomal protein L12,710 ng/L,710
ATP6AP1,537,ATPase H+ transporting accessory protein 1,700 ng/L,700
TIMP3,7078,TIMP metallopeptidase inhibitor 3,700 ng/L,700
HGD,3081,"Homogentisate 1,2-dioxygenase",700 ng/L,700
ATP6V1A,523,ATPase H+ transporting V1 subunit A,700 ng/L,700
ADGRL2,23266,Adhesion G protein-coupled receptor L2,700 ng/L,700
UCHL3,7347,Ubiquitin C-terminal hydrolase L3,700 ng/L,700
CGREF1,10669,Cell growth regulator with EF-hand domain 1,700 ng/L,700
ENSA,2029,Endosulfine alpha,700 ng/L,700
SEMA4C,54910,Semaphorin 4C,700 ng/L,700
APOBR,55911,Apolipoprotein B receptor,700 ng/L,700
XRCC6,2547,X-ray repair cross complementing 6,700 ng/L,700
COL6A6,131873,Collagen type VI alpha 6 chain,700 ng/L,700
ADSS2,159,Adenylosuccinate synthase 2,690 ng/L,690
HEBP2,23593,Heme binding protein 2,690 ng/L,690
NUCB2,4925,Nucleobindin 2,690 ng/L,690
PCDH17,27253,Protocadherin 17,690 ng/L,690
CHST3,9469,Carbohydrate sulfotransferase 3,690 ng/L,690
ADAM10,102,ADAM metallopeptidase domain 10,690 ng/L,690
ZG16B,124220,Zymogen granule protein 16B,690 ng/L,690
CRYL1,51084,Crystallin lambda 1,690 ng/L,690
BANF1,8815,BAF nuclear assembly factor 1,690 ng/L,690
CHST15,51363,Carbohydrate sulfotransferase 15,690 ng/L,690
DLL1,28514,Delta like canonical Notch ligand 1,690 ng/L,690
CASS4,57091,Cas scaffold protein family member 4,680 ng/L,680
CHST10,9486,Carbohydrate sulfotransferase 10,680 ng/L,680
DMGDH,29958,Dimethylglycine dehydrogenase,680 ng/L,680
EGF,1950,Epidermal growth factor,680 ng/L,680
ETFA,2108,Electron transfer flavoprotein subunit alpha,680 ng/L,680
PRG3,10394,"Proteoglycan 3, pro eosinophil major basic protein 2",680 ng/L,680
PLA2G2A,5320,Phospholipase A2 group IIA,680 ng/L,680
CS,1431,Citrate synthase,670 ng/L,670
UROC1,131669,Urocanate hydratase 1,670 ng/L,670
PFAS,5198,Phosphoribosylformylglycinamidine synthase,670 ng/L,670
LILRA5,353514,Leukocyte immunoglobulin like receptor A5,670 ng/L,670
SAR1A,56681,Secretion associated Ras related GTPase 1A,660 ng/L,660
AP1B1,162,Adaptor related protein complex 1 subunit beta 1,660 ng/L,660
PTGES3,10728,Prostaglandin E synthase 3,660 ng/L,660
CNN3,1266,Calponin 3,660 ng/L,660
EPHA7,2045,EPH receptor A7,660 ng/L,660
TATDN1,83940,TatD DNase domain containing 1,660 ng/L,660
CD163L1,283316,CD163 molecule like 1,660 ng/L,660
HNRNPH3,3189,Heterogeneous nuclear ribonucleoprotein H3,650 ng/L,650
MPP1,4354,Membrane palmitoylated protein 1,650 ng/L,650
VSIG8,391123,V-set and immunoglobulin domain containing 8,650 ng/L,650
SLC25A5,292,Solute carrier family 25 member 5,640 ng/L,640
PITHD1,57095,PITH domain containing 1,640 ng/L,640
COL11A1,1301,Collagen type XI alpha 1 chain,640 ng/L,640
MMP11,4320,Matrix metallopeptidase 11,640 ng/L,640
PYCARD,29108,PYD and CARD domain containing,640 ng/L,640
SCP2,6342,Sterol carrier protein 2,640 ng/L,640
SFPQ,6421,Splicing factor proline and glutamine rich,640 ng/L,640
HNRNPH2,3188,Heterogeneous nuclear ribonucleoprotein H2,640 ng/L,640
MTTP,4547,Microsomal triglyceride transfer protein,640 ng/L,640
ADAM15,8751,ADAM metallopeptidase domain 15,640 ng/L,640
HMGN2,3151,High mobility group nucleosomal binding domain 2,640 ng/L,640
SMC3,9126,Structural maintenance of chromosomes 3,630 ng/L,630
CD101,9398,CD101 molecule,630 ng/L,630
DCTN2,10540,Dynactin subunit 2,630 ng/L,630
LRRC25,126364,Leucine rich repeat containing 25,630 ng/L,630
DDI2,84301,DNA damage inducible 1 homolog 2,630 ng/L,630
RACK1,10399,Receptor for activated C kinase 1,630 ng/L,630
RPL6,6128,Ribosomal protein L6,620 ng/L,620
AARS1,16,Alanyl-tRNA synthetase 1,620 ng/L,620
SEMA6A,57556,Semaphorin 6A,620 ng/L,620
ENPP5,59084,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,620 ng/L,620
GPD2,2820,Glycerol-3-phosphate dehydrogenase 2,620 ng/L,620
KHK,3795,Ketohexokinase,620 ng/L,620
GALM,130589,Galactose mutarotase,620 ng/L,620
C6orf120,387263,Chromosome 6 open reading frame 120,620 ng/L,620
CHRDL1,91851,Chordin like 1,610 ng/L,610
CDC37,11140,"Cell division cycle 37, HSP90 cochaperone",610 ng/L,610
DPT,1805,Dermatopontin,610 ng/L,610
IL7R,3575,Interleukin 7 receptor,610 ng/L,610
TUFM,7284,"Tu translation elongation factor, mitochondrial",610 ng/L,610
WAS,7454,WASP actin nucleation promoting factor,600 ng/L,600
CAMK2B,816,Calcium/calmodulin dependent protein kinase II beta,600 ng/L,600
MAVS,57506,Mitochondrial antiviral signaling protein,600 ng/L,600
CPE,1363,Carboxypeptidase E,600 ng/L,600
GASK1A,729085,Golgi associated kinase 1A,600 ng/L,600
ALDH16A1,126133,Aldehyde dehydrogenase 16 family member A1,600 ng/L,600
GATM,2628,Glycine amidinotransferase,600 ng/L,600
PHPT1,29085,Phosphohistidine phosphatase 1,590 ng/L,590
KRT23,25984,Keratin 23,590 ng/L,590
HYAL1,3373,Hyaluronidase 1,590 ng/L,590
KYNU,8942,Kynureninase,590 ng/L,590
SEC14L2,23541,SEC14 like lipid binding 2,580 ng/L,580
VAPA,9218,VAMP associated protein A,580 ng/L,580
TARS1,6897,Threonyl-tRNA synthetase 1,580 ng/L,580
TJP2,9414,Tight junction protein 2,580 ng/L,580
LRRFIP1,9208,LRR binding FLII interacting protein 1,580 ng/L,580
OSTF1,26578,Osteoclast stimulating factor 1,580 ng/L,580
COLEC12,81035,Collectin subfamily member 12,580 ng/L,580
HAAO,23498,"3-hydroxyanthranilate 3,4-dioxygenase",580 ng/L,580
PCOLCE2,26577,Procollagen C-endopeptidase enhancer 2,580 ng/L,580
CMBL,134147,Carboxymethylenebutenolidase homolog,580 ng/L,580
PDGFA,5154,Platelet derived growth factor subunit A,580 ng/L,580
SCARF2,91179,Scavenger receptor class F member 2,580 ng/L,580
PRKAR2B,5577,Protein kinase cAMP-dependent type II regulatory subunit beta,570 ng/L,570
TNFRSF1A,7132,TNF receptor superfamily member 1A,570 ng/L,570
CHPF,79586,Chondroitin polymerizing factor,570 ng/L,570
ANP32B,10541,Acidic nuclear phosphoprotein 32 family member B,570 ng/L,570
PEF1,553115,Penta-EF-hand domain containing 1,570 ng/L,570
TLL1,7092,Tolloid like 1,560 ng/L,560
TNNC2,7125,"Troponin C2, fast skeletal type",560 ng/L,560
DNASE2,1777,"Deoxyribonuclease 2, lysosomal",560 ng/L,560
GARS1,2617,Glycyl-tRNA synthetase 1,560 ng/L,560
CXCL12,6387,C-X-C motif chemokine ligand 12,560 ng/L,560
CACYBP,27101,Calcyclin binding protein,560 ng/L,560
TST,7263,Thiosulfate sulfurtransferase,560 ng/L,560
CKAP4,10970,Cytoskeleton associated protein 4,560 ng/L,560
ACTR1A,10121,Actin related protein 1A,560 ng/L,560
PAK1,5058,P21 (RAC1) activated kinase 1,560 ng/L,560
RPS3,6188,Ribosomal protein S3,560 ng/L,560
HK1,3098,Hexokinase 1,560 ng/L,560
RGMB,285704,Repulsive guidance molecule BMP co-receptor b,560 ng/L,560
FBXO7,25793,F-box protein 7,550 ng/L,550
LOX,4015,Lysyl oxidase,550 ng/L,550
GNG12,55970,G protein subunit gamma 12,550 ng/L,550
ANXA4,307,Annexin A4,550 ng/L,550
DNPH1,10591,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,540 ng/L,540
CLINT1,9685,Clathrin interactor 1,540 ng/L,540
FTO,79068,FTO alpha-ketoglutarate dependent dioxygenase,540 ng/L,540
IGSF10,285313,Immunoglobulin superfamily member 10,540 ng/L,540
GIP,2695,Gastric inhibitory polypeptide,540 ng/L,540
CMTM5,116173,CKLF like MARVEL transmembrane domain containing 5,540 ng/L,540
TGM1,7051,Transglutaminase 1,530 ng/L,530
COX5A,9377,Cytochrome c oxidase subunit 5A,530 ng/L,530
WIPF1,7456,WAS/WASL interacting protein family member 1,520 ng/L,520
TAOK3,51347,TAO kinase 3,520 ng/L,520
BAAT,570,Bile acid-CoA:amino acid N-acyltransferase,520 ng/L,520
CREG1,8804,Cellular repressor of E1A stimulated genes 1,520 ng/L,520
RPL10,6134,Ribosomal protein L10,520 ng/L,520
GALNT4,8693,Polypeptide N-acetylgalactosaminyltransferase 4,520 ng/L,520
COL9A2,1298,Collagen type IX alpha 2 chain,510 ng/L,510
CDH3,1001,Cadherin 3,510 ng/L,510
GNAO1,2775,G protein subunit alpha o1,510 ng/L,510
CCDC80,151887,Coiled-coil domain containing 80,510 ng/L,510
PPM1F,9647,"Protein phosphatase, Mg2+/Mn2+ dependent 1F",510 ng/L,510
GNS,2799,Glucosamine (N-acetyl)-6-sulfatase,510 ng/L,510
FKBP2,2286,FKBP prolyl isomerase 2,510 ng/L,510
CBSL,875,Cystathionine beta-synthase like,510 ng/L,510
VPS35,55737,VPS35 retromer complex component,500 ng/L,500
PSMD9,5715,"Proteasome 26S subunit, non-ATPase 9",500 ng/L,500
ALDH1B1,219,Aldehyde dehydrogenase 1 family member B1,500 ng/L,500
ITGA9,3680,Integrin subunit alpha 9,500 ng/L,500
UCHL1,7345,Ubiquitin C-terminal hydrolase L1,500 ng/L,500
AHCYL2,23382,Adenosylhomocysteinase like 2,500 ng/L,500
OTUB1,55611,"OTU deubiquitinase, ubiquitin aldehyde binding 1",500 ng/L,500
NGFR,4804,Nerve growth factor receptor,490 ng/L,490
CPXM1,56265,"Carboxypeptidase X, M14 family member 1",490 ng/L,490
PAICS,10606,Phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,490 ng/L,490
SCUBE3,222663,"Signal peptide, CUB domain and EGF like domain containing 3",490 ng/L,490
RPL7A,6130,Ribosomal protein L7a,490 ng/L,490
CD8A,925,CD8a molecule,490 ng/L,490
VDAC2,7417,Voltage dependent anion channel 2,490 ng/L,490
NQO1,1728,NAD(P)H quinone dehydrogenase 1,490 ng/L,490
PTP4A2,8073,Protein tyrosine phosphatase 4A2,490 ng/L,490
DYNC1H1,1778,Dynein cytoplasmic 1 heavy chain 1,490 ng/L,490
ABCF1,23,ATP binding cassette subfamily F member 1,490 ng/L,490
FKBP4,2288,FKBP prolyl isomerase 4,480 ng/L,480
ACP3,55,Acid phosphatase 3,480 ng/L,480
FUS,2521,FUS RNA binding protein,480 ng/L,480
BPNT2,54928,"3'(2'), 5'-bisphosphate nucleotidase 2",480 ng/L,480
RAB5C,5878,"RAB5C, member RAS oncogene family",480 ng/L,480
EIF2S2,8894,Eukaryotic translation initiation factor 2 subunit beta,480 ng/L,480
PCSK6,5046,Proprotein convertase subtilisin/kexin type 6,480 ng/L,480
CNTN5,53942,Contactin 5,480 ng/L,480
CNST,163882,"Consortin, connexin sorting protein",480 ng/L,480
SNRPD1,6632,Small nuclear ribonucleoprotein D1 polypeptide,480 ng/L,480
PPID,5481,Peptidylprolyl isomerase D,480 ng/L,480
CRELD2,79174,Cysteine rich with EGF like domains 2,480 ng/L,480
HADHA,3030,Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,470 ng/L,470
RPL3,6122,Ribosomal protein L3,470 ng/L,470
CLN5,1203,CLN5 intracellular trafficking protein,470 ng/L,470
CPPED1,55313,Calcineurin like phosphoesterase domain containing 1,470 ng/L,470
HMGCS1,3157,3-hydroxy-3-methylglutaryl-CoA synthase 1,470 ng/L,470
HEATR1,55127,HEAT repeat containing 1,470 ng/L,470
HNRNPR,10236,Heterogeneous nuclear ribonucleoprotein R,470 ng/L,470
TNNT3,7140,"Troponin T3, fast skeletal type",470 ng/L,470
TNFAIP8,25816,TNF alpha induced protein 8,470 ng/L,470
EMCN,51705,Endomucin,470 ng/L,470
GBA,2629,Glucosylceramidase beta,470 ng/L,470
ADA,100,Adenosine deaminase,470 ng/L,470
HLA-DPB1,3115,"Major histocompatibility complex, class II, DP beta 1",470 ng/L,470
RPS15,6209,Ribosomal protein S15,460 ng/L,460
PSME3,10197,Proteasome activator subunit 3,460 ng/L,460
REG4,83998,Regenerating family member 4,460 ng/L,460
MMP3,4314,Matrix metallopeptidase 3,460 ng/L,460
BAG3,9531,BAG cochaperone 3,460 ng/L,460
NDRG2,57447,NDRG family member 2,460 ng/L,460
C19orf33,64073,Chromosome 19 open reading frame 33,460 ng/L,460
HNRNPAB,3182,Heterogeneous nuclear ribonucleoprotein A/B,460 ng/L,460
ERBB3,2065,Erb-b2 receptor tyrosine kinase 3,450 ng/L,450
PLD3,23646,Phospholipase D family member 3,450 ng/L,450
PNPO,55163,Pyridoxamine 5'-phosphate oxidase,450 ng/L,450
RPS12,6206,Ribosomal protein S12,450 ng/L,450
HSD17B4,3295,Hydroxysteroid 17-beta dehydrogenase 4,450 ng/L,450
NONO,4841,Non-POU domain containing octamer binding,450 ng/L,450
EIF4E,1977,Eukaryotic translation initiation factor 4E,450 ng/L,450
PGM5,5239,Phosphoglucomutase 5,450 ng/L,450
AGL,178,"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",450 ng/L,450
VEGFD,2277,Vascular endothelial growth factor D,450 ng/L,450
SLC25A6,293,Solute carrier family 25 member 6,450 ng/L,450
ENPP7,339221,Ectonucleotide pyrophosphatase/phosphodiesterase 7,450 ng/L,450
IFITM2,10581,Interferon induced transmembrane protein 2,450 ng/L,450
PRELP,5549,Proline and arginine rich end leucine rich repeat protein,450 ng/L,450
OXCT1,5019,3-oxoacid CoA-transferase 1,440 ng/L,440
HNRNPM,4670,Heterogeneous nuclear ribonucleoprotein M,440 ng/L,440
EHD4,30844,EH domain containing 4,440 ng/L,440
GALNT3,2591,Polypeptide N-acetylgalactosaminyltransferase 3,440 ng/L,440
MATN3,4148,Matrilin 3,440 ng/L,440
WBP2,23558,WW domain binding protein 2,440 ng/L,440
ABI1,10006,Abl interactor 1,440 ng/L,440
SRP14,6727,Signal recognition particle 14,440 ng/L,440
RALB,5899,RAS like proto-oncogene B,440 ng/L,440
PRSS23,11098,Serine protease 23,440 ng/L,440
MGAT5,4249,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase",440 ng/L,440
DDB1,1642,Damage specific DNA binding protein 1,440 ng/L,440
CAVIN1,284119,Caveolae associated protein 1,440 ng/L,440
ADSL,158,Adenylosuccinate lyase,440 ng/L,440
RPL5,6125,Ribosomal protein L5,430 ng/L,430
BIN1,274,Bridging integrator 1,430 ng/L,430
SAR1B,51128,Secretion associated Ras related GTPase 1B,430 ng/L,430
ALDH7A1,501,Aldehyde dehydrogenase 7 family member A1,430 ng/L,430
PSMD2,5708,"Proteasome 26S subunit, non-ATPase 2",430 ng/L,430
FAS,355,Fas cell surface death receptor,420 ng/L,420
CHI3L2,1117,Chitinase 3 like 2,420 ng/L,420
MYBPC2,4606,Myosin binding protein C2,420 ng/L,420
DDX17,10521,DEAD-box helicase 17,420 ng/L,420
HNRNPL,3191,Heterogeneous nuclear ribonucleoprotein L,420 ng/L,420
GCG,2641,Glucagon,420 ng/L,420
GAMT,2593,Guanidinoacetate N-methyltransferase,420 ng/L,420
RPL11,6135,Ribosomal protein L11,420 ng/L,420
PLA1A,51365,Phospholipase A1 member A,420 ng/L,420
BPNT1,10380,"3'(2'), 5'-bisphosphate nucleotidase 1",420 ng/L,420
ATP1A1,476,ATPase Na+/K+ transporting subunit alpha 1,420 ng/L,420
CTHRC1,115908,Collagen triple helix repeat containing 1,420 ng/L,420
SLITRK4,139065,SLIT and NTRK like family member 4,420 ng/L,420
GPC6,10082,Glypican 6,420 ng/L,420
SELENOF,9403,Selenoprotein F,420 ng/L,420
DNASE1,1773,Deoxyribonuclease 1,420 ng/L,420
NPTXR,23467,Neuronal pentraxin receptor,420 ng/L,420
ABHD14A,25864,Abhydrolase domain containing 14A,420 ng/L,420
XPO1,7514,Exportin 1,410 ng/L,410
NANS,54187,N-acetylneuraminate synthase,410 ng/L,410
PDAP1,11333,PDGFA associated protein 1,410 ng/L,410
TFR2,7036,Transferrin receptor 2,410 ng/L,410
C1QBP,708,Complement C1q binding protein,410 ng/L,410
IL2RA,3559,Interleukin 2 receptor subunit alpha,410 ng/L,410
ARMT1,79624,Acidic residue methyltransferase 1,410 ng/L,410
PFKM,5213,"Phosphofructokinase, muscle",410 ng/L,410
NNMT,4837,Nicotinamide N-methyltransferase,410 ng/L,410
GLDN,342035,Gliomedin,410 ng/L,410
ASAH1,427,N-acylsphingosine amidohydrolase 1,400 ng/L,400
CLC,1178,Charcot-Leyden crystal galectin,400 ng/L,400
CD81,975,CD81 molecule,400 ng/L,400
CLIC5,53405,Chloride intracellular channel 5,400 ng/L,400
ACE2,59272,Angiotensin I converting enzyme 2,400 ng/L,400
SMPDL3B,27293,Sphingomyelin phosphodiesterase acid like 3B,400 ng/L,400
MNDA,4332,Myeloid cell nuclear differentiation antigen,400 ng/L,400
CRK,1398,"CRK proto-oncogene, adaptor protein",400 ng/L,400
B3GALNT1,8706,"Beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)",400 ng/L,400
GRB2,2885,Growth factor receptor bound protein 2,400 ng/L,400
NCCRP1,342897,"NCCRP1, F-box associated domain containing",400 ng/L,400
LRP6,4040,LDL receptor related protein 6,390 ng/L,390
UBE2K,3093,Ubiquitin conjugating enzyme E2 K,390 ng/L,390
QPCT,25797,Glutaminyl-peptide cyclotransferase,390 ng/L,390
GNMT,27232,Glycine N-methyltransferase,390 ng/L,390
CPA4,51200,Carboxypeptidase A4,390 ng/L,390
AMIGO2,347902,Adhesion molecule with Ig like domain 2,390 ng/L,390
SH3GL1,6455,"SH3 domain containing GRB2 like 1, endophilin A2",390 ng/L,390
BOLA2B,654483,BolA family member 2B,390 ng/L,390
SHMT2,6472,Serine hydroxymethyltransferase 2,390 ng/L,390
BOLA2,552900,BolA family member 2,390 ng/L,390
PRTN3,5657,Proteinase 3,390 ng/L,390
PLXNB3,5365,Plexin B3,390 ng/L,390
NAXD,55739,NAD(P)HX dehydratase,390 ng/L,390
AP2B1,163,Adaptor related protein complex 2 subunit beta 1,380 ng/L,380
STX7,8417,Syntaxin 7,380 ng/L,380
PPM1A,5494,"Protein phosphatase, Mg2+/Mn2+ dependent 1A",380 ng/L,380
ANGPTL1,9068,Angiopoietin like 1,380 ng/L,380
EPHB2,2048,EPH receptor B2,380 ng/L,380
RPL7,6129,Ribosomal protein L7,380 ng/L,380
SLC25A4,291,Solute carrier family 25 member 4,380 ng/L,380
ABCE1,6059,ATP binding cassette subfamily E member 1,380 ng/L,380
PRKCB,5579,Protein kinase C beta,380 ng/L,380
PIPOX,51268,Pipecolic acid and sarcosine oxidase,380 ng/L,380
LY6G6F,259215,Lymphocyte antigen 6 family member G6F,380 ng/L,380
CX3CL1,6376,C-X3-C motif chemokine ligand 1,370 ng/L,370
TNFRSF12A,51330,TNF receptor superfamily member 12A,370 ng/L,370
DPEP1,1800,Dipeptidase 1,370 ng/L,370
GALNT16,57452,Polypeptide N-acetylgalactosaminyltransferase 16,370 ng/L,370
CRYAB,1410,Crystallin alpha B,370 ng/L,370
OPTN,10133,Optineurin,370 ng/L,370
CTSV,1515,Cathepsin V,370 ng/L,370
SCRN2,90507,Secernin 2,370 ng/L,370
TINAGL1,64129,Tubulointerstitial nephritis antigen like 1,370 ng/L,370
LRP1B,53353,LDL receptor related protein 1B,370 ng/L,370
UBA7,7318,Ubiquitin like modifier activating enzyme 7,370 ng/L,370
JAG2,3714,Jagged canonical Notch ligand 2,370 ng/L,370
ELANE,1991,"Elastase, neutrophil expressed",370 ng/L,370
SDHA,6389,Succinate dehydrogenase complex flavoprotein subunit A,360 ng/L,360
ADD1,118,Adducin 1,360 ng/L,360
NPTX2,4885,Neuronal pentraxin 2,360 ng/L,360
MMP8,4317,Matrix metallopeptidase 8,360 ng/L,360
STK26,51765,Serine/threonine kinase 26,360 ng/L,360
DHX9,1660,DExH-box helicase 9,360 ng/L,360
EPRS1,2058,Glutamyl-prolyl-tRNA synthetase 1,360 ng/L,360
JAM2,58494,Junctional adhesion molecule 2,360 ng/L,360
PHB,5245,Prohibitin,360 ng/L,360
CKAP5,9793,Cytoskeleton associated protein 5,360 ng/L,360
ARHGAP6,395,Rho GTPase activating protein 6,350 ng/L,350
CHRD,8646,Chordin,350 ng/L,350
GLRX3,10539,Glutaredoxin 3,350 ng/L,350
SLAMF1,6504,Signaling lymphocytic activation molecule family member 1,350 ng/L,350
DTD1,92675,D-aminoacyl-tRNA deacylase 1,350 ng/L,350
ANGPTL8,55908,Angiopoietin like 8,350 ng/L,350
DDAH1,23576,Dimethylarginine dimethylaminohydrolase 1,350 ng/L,350
GHRL,51738,Ghrelin and obestatin prepropeptide,350 ng/L,350
