symbol	Entrez	UNIPROT	3250_overlap	Concentration(ng/L)	EV_number of experiment	EV_quantity_Median
ALDH1B1	219	P30837	P	500	17	416438376.5
LGALS3BP	3959	Q08380	P	7100000	52	532425347.5
ITGA5	3678	P08648	P	26000	24	35902906.33
PLEK	5341	P08567	P	380000	11	103135386.7
CD2AP	23607	Q9Y5K6	P	58	27	29252676.33
MYH9	4627	P35579	P	410000	48	486609955.7
ENTPD1	953	P49961	P	19	13	63020280.45
TNC	3371	P24821	P	840000	15	61273510.2
ARF6	382	P62330	P	310	34	73972838.38
GALK1	2584	P51570	P	57	18	154803393.2
RO60	6738	P10155	P	50	15	41673127.95
SKP1	6500	P63208	P	880	26	47634286.79
FKBP1A	2280	P62942	P	12000	29	53532829.5
S100A10	6281	P60903	P	270	31	407675788.1
NHLRC2	374354	Q8NBF2	P	120	20	39523043.5
NUDT2	318	P50583	P	65	12	42170820
ANXA4	307	P09525	P	550	49	497229342.5
LYPLA1	10434	O75608	P	330	37	209232297.7
ASNS	440	P08243	P	47	29	40058811.65
AHNAK	79026	Q09666	P	10000	44	194071132
HNRNPK	3190	P61978	P	7100	35	366237076.5
LRRC57	255252	Q8N9N7	P	26	27	20162810.23
SNX5	27131	Q9Y5X3	P	8.2	25	39148701.7
DYNC1LI1	51143	Q9Y6G9	P	23	26	54663226
ERBB2	2064	P04626	P	980	28	139375820.6
CD46	4179	P15529	P	1000	44	38389988.75
SSBP1	6742	Q04837	P	150	27	49921162.36
LRRFIP2	9209	Q9Y608	P	150	9	51618776
ITGAL	3683	P20701	P	1600	8	40279267
ANO6	196527	Q4KMQ2	P	47	21	24367404.71
ADAM10	102	O14672	P	690	38	74151057
SORD	6652	Q00796	P	2800	29	66681908.72
PROCR	10544	Q9UNN8	P	980000	15	4100607
PDIA6	10130	Q15084	P	15000	28	53027192.33
SUGT1	10910	Q9Y2Z0	P	17	22	36688803.27
GALM	130589	Q96C23	P	620	10	121570427
DNAJA2	10294	O60884	P	67	33	59901665.25
HNRNPL	3191	P14866	P	420	31	248438082.1
PGLS	25796	O95336	P	7200	32	69678470.17
TIMM9	26520	Q9Y5J7	P	78	5	13812398.13
ATL3	25923	Q6DD88	P	58	20	58007006.58
XRCC6	2547	P12956	P	700	43	493306057
RAB8A	4218	P61006	P	4800	37	783989243.3
DBNL	28988	Q9UJU6	P	3500	29	50865112.75
PURB	5814	Q96QR8	P	150	20	58141510.09
IST1	9798	P53990	P	270	39	60696743.02
GALNT7	51809	Q86SF2	P	6200	8	47711730.25
HEXB	3074	P07686	P	40000	43	59107545
SERPINA7	6906	P05543	P	25000000	1	382188038.6
COASY	80347	Q13057	P	20	23	43538116.5
CCT7	10574	Q99832	P	1900	28	238843223.6
PTPA	5524	Q15257	P	4300	24	10435967.55
BLMH	642	Q13867	P	42000	22	19036964.06
ENO1	2023	P06733	P	310000	49	1841811609
PTMS	5763	P20962	P	300	9	28733348.38
PPP1R7	5510	Q15435	P	960	18	23172296.63
RPL10A	4736	P62906	P	740	33	200538626.3
WASF2	10163	Q9Y6W5	P	84	24	28348156.94
TTC38	55020	Q5R3I4	P	170	21	55397758.67
MMRN2	79812	Q9H8L6	P	84000	1	10500602.88
SMS	6611	P52788	P	16	25	46639407.38
HPCAL1	3241	P37235	P	92	20	41857913.57
ACY1	95	Q03154	P	23000	17	52015652.16
GBP1	2633	P32455	P	110	13	45417192.8
CCT8	10694	P50990	P	1100	32	261392617.3
DCTN1	1639	Q14203	P	250	31	86532127.38
TFG	10342	Q92734	P	320	19	41477197.16
CDC37	11140	Q16543	P	610	25	37292685.48
ANXA5	308	P08758	P	5000	45	753680630.5
BCAP31	10134	P51572	P	170	21	93547404.17
FN1	2335	P02751	P	47000000	38	832501070.9
GNAQ	2776	P50148	P	800	29	60430750.38
MARCKS	4082	P29966	P	19000	25	159809779.8
RPL12	6136	P30050	P	710	45	398209815.8
CCT4	10575	P50991	P	1700	36	353112843.8
PSME2	5721	Q9UL46	P	5900	26	75636355
PEF1	553115	Q9UBV8	P	570	40	35193541
PPIB	5479	P23284	P	33000	35	114499590.5
THBS1	7057	P07996	P	1400000	40	418185064.3
CARHSP1	23589	Q9Y2V2	P	280	14	83667959.19
FLOT2	2319	Q14254	P	170	42	74577823.49
IQGAP1	8826	P46940	P	1500	47	197410456.8
COPS7A	50813	Q9UBW8	P	54	13	28839514.5
C6	729	P13671	P	9200000	14	92446677.31
GAA	2548	P10253	P	3800	25	70524159.75
PPP2R1A	5518	P30153	P	2000	33	282792731.7
STIP1	10963	P31948	P	3600	42	45476162.88
ILK	3611	Q13418	P	30000	31	167338417.3
GMDS	2762	O60547	P	72	31	133003707.5
EFEMP1	2202	Q12805	P	1900000	13	32034616
RPL9	6133	P32969	P	180	33	140803890.2
NAPRT	93100	Q6XQN6	P	2300	22	79333244.97
APLP2	334	Q06481	P	1500	24	38668443.46
MPP1	4354	Q00013	P	650	6	15450720.2
TSN	7247	Q15631	P	280	26	26346757.75
NAMPT	10135	P43490	P	1400	34	126159958.2
FSCN1	6624	Q16658	P	4300	29	221725085.2
NID1	4811	P14543	P	150000	18	72875873.08
PAFAH1B2	5049	P68402	P	250	28	84745818
UFC1	51506	Q9Y3C8	P	62	14	17329031.25
VAMP5	10791	O95183	P	130	12	9297481.781
SNAP29	9342	O95721	P	110	15	11623372.95
ARPC5L	81873	Q9BPX5	P	97	25	21700645.13
RPS8	6202	P62241	P	290	35	255903883.1
RAB21	23011	Q9UL25	P	13	32	75105344.31
FLOT1	10211	O75955	P	160	47	79544528
ALDOA	226	P04075	P	640000	40	251092073.6
TPT1	7178	P13693	P	1500	28	110307450.4
PGM2	55276	Q96G03	P	1700	11	21412064.75
CCT5	22948	P48643	P	1400	35	309817608.8
PLCG2	5336	P16885	P	8.2	17	29071176.38
OTUB1	55611	Q96FW1	P	500	27	104436318.9
HMOX1	3162	P09601	P	170	13	10049493.25
HMOX2	3163	P30519	P	12	12	33025038.94
FERMT2	10979	Q96AC1	P	230	21	62364674.79
RPS6	6194	P62753	P	320	42	213644198.4
ERP29	10961	P30040	P	900	28	44856446.41
RAD23B	5887	P54727	P	5900	31	21016509
MAT2A	4144	P31153	P	1800	26	86853550.13
OLA1	29789	Q9NTK5	P	3300	30	143481293.5
NARS1	4677	O43776	P	76	27	124260037.9
DCTN2	10540	Q13561	P	630	35	31387509
FYB1	2533	O15117	P	6200	11	10869094
GPI	2821	P06744	P	86000	35	135669855.3
CPVL	54504	Q9H3G5	P	760	20	44416873.5
PGRMC2	10424	O15173	P	76	16	62117874
IARS2	55699	Q9NSE4	P	35	11	15457659.57
HSD17B10	3028	Q99714	P	290	15	31339564.52
CAB39	51719	Q9Y376	P	100	34	21775637.44
TUBB	203068	P07437	P	170000	45	3989929964
GNB2	2783	P62879	P	940	41	675924873.7
BANF1	8815	O75531	P	690	28	467668736.7
CAPN1	823	P07384	P	9100	32	62449614.5
MAP2K2	5605	P36507	P	140	16	91351156
ITIH3	3699	Q06033	P	9100000	4	585611740
CTNNA1	1495	P35221	P	57	35	123807794.2
CTTN	2017	Q14247	P	11000	22	31141645.5
ANXA11	311	P50995	P	210	33	225516016.6
HNRNPD	3184	Q14103	P	1100	32	124470496.6
ITIH1	3697	P19827	P	59000000	2	386475503.8
GNAI2	2771	P04899	P	4000	44	515567014.3
SEPTIN7	989	Q16181	P	4300	32	156551883.5
SCLY	51540	Q96I15	P	300	11	50953492
RPL13	6137	P26373	P	190	39	87225393.98
ITGB1	3688	P05556	P	270000	53	376782412
NIBAN2	64855	Q96TA1	P	1500	26	93488174.54
MAPRE2	10982	Q15555	P	13000	16	79746647.92
BPNT1	10380	O95861	P	420	27	22063900.5
SACM1L	22908	Q9NTJ5	P	82	15	39814904.13
TLN2	83660	Q9Y4G6	P	46000	30	150463427.3
CLIC1	1192	O00299	P	22000	40	792290561.4
SLC44A1	23446	Q8WWI5	P	99	33	98753222.13
CCT2	10576	P78371	P	3500	47	325924288.3
CDK6	1021	Q00534	P	26	14	161305743.5
EEF1B2	1933	P24534	P	840	32	138636372.8
RAN	5901	P62826	P	4000	37	1081324044
ACTR3	10096	P61158	P	25000	34	191847287.3
RPL27	6155	P61353	P	170	26	119486516.5
NSF	4905	P46459	P	59	22	72120751.33
EGFR	1956	P00533	P	88000	36	39747546.17
LAMTOR3	8649	Q9UHA4	P	120	7	114099142.4
ENO2	2026	P09104	P	55000	40	108707776
USP14	9097	P54578	P	2700	31	107888709.8
SUMF2	25870	Q8NBJ7	P	750	11	16981402.63
RPS20	6224	P60866	P	210	31	158862793.4
TXNL1	9352	O43396	P	1100	26	98372882.29
DST	667	Q03001	P	16	15	10842745.25
CAPNS1	826	P04632	P	9000	30	87355836.96
COL18A1	80781	P39060	P	290000	25	59110259.81
H1-0	3005	P07305	P	120	24	80224284.36
DDI2	84301	Q5TDH0	P	630	17	12183560.22
GRB2	2885	P62993	P	400	35	23835970.8
HMGA1	3159	P17096	P	72	27	49138810.75
RPL8	6132	P62917	P	170000	40	78404225.15
ANGPTL2	23452	Q9UKU9	P	2200	11	26238255.58
GM2A	2760	P17900	P	19000	9	33599383
PLBD1	79887	Q6P4A8	P	3400	22	22366732.56
RPS23	6228	P62266	P	180	20	186251076.3
SUB1	10923	P53999	P	120	21	235557231.1
STIM1	6786	Q13586	P	1900	9	11313973.31
STOML2	30968	Q9UJZ1	P	44	16	17038627.09
ICAM3	3385	P32942	P	390000	7	18955253.34
YWHAQ	10971	P27348	P	49000	42	520557957.9
HMGB2	3148	P26583	P	1200	22	214490766
PSMA2	5683	P25787	P	61000	36	226290160.3
CZIB	54987	Q9NWV4	P	320	12	23546596.5
TLN1	7094	Q9Y490	P	1300000	45	328931448.3
MRI1	84245	Q9BV20	P	880	19	24218348.41
NT5E	4907	P21589	P	3000	30	121771561
ARHGDIB	397	P52566	P	61000	18	96329265.48
RTCB	51493	Q9Y3I0	P	73	24	200765691.4
ARPC4	10093	P59998	P	5900	36	160768891.8
ST6GAL1	6480	P15907	P	3300	6	10551545.19
CPPED1	55313	Q9BRF8	P	470	16	7578380.5
RAB14	51552	P61106	P	2700	43	379256266.2
ACTR2	10097	P61160	P	35000	31	190361839.1
PNPO	55163	Q9NVS9	P	450	16	29697907.65
AHCYL1	10768	O43865	P	160	28	189304538.7
CTSZ	1522	Q9UBR2	P	88000	23	93662496.58
ASMTL	8623	O95671	P	17	5	25628827.79
ABHD14B	84836	Q96IU4	P	2100	23	81395987.97
ARSA	410	P15289	P	5600	14	7122216.75
GGH	8836	Q92820	P	1200000	37	37206803
MIF	4282	P14174	P	5000	33	946092632.3
GMPPB	29925	Q9Y5P6	P	38	26	90157305.21
ITGAM	3684	P11215	P	1000	16	60537248.58
NUCKS1	64710	Q9H1E3	P	13	2	18620135.38
CAPN2	824	P17655	P	2800	34	91204550.38
NUTF2	10204	P61970	P	2300	19	196581172.2
SLC25A6	293	P12236	P	450	21	58140553
CLTC	1213	Q00610	P	14000	46	1028316645
ETFA	2108	P13804	P	680	21	37008218.58
SBDS	51119	Q9Y3A5	P	190	17	136724540
LIMA1	51474	Q9UHB6	P	90	31	39366201.08
PALLD	23022	Q8WX93	P	27	9	101421593.3
RPS13	6207	P62277	P	190	42	136698958.5
VAPB	9217	O95292	P	240	18	46062496
TAGLN2	8407	P37802	P	270000	41	446718491.6
CHMP6	79643	Q96FZ7	P	17	23	34104361.23
HSPA8	3312	P11142	P	140000	50	1714145770
PAPSS2	9060	O95340	P	16	15	59045500.42
TNFAIP8	25816	O95379	P	470	14	47604061
PTPRC	5788	P08575	P	24000	16	80901489.25
CALR	811	P27797	P	210000	34	129344477.6
UBAC1	10422	Q9BSL1	P	87	10	30117267.25
C9orf64	84267	Q5T6V5	P	9.4	15	40695853.58
UBE2V2	7336	Q15819	P	800	22	62778863
PSMA3	5684	P25788	P	9700	39	335769323
TXNDC17	84817	Q9BRA2	P	820	19	62796660.06
SCRN2	90507	Q96FV2	P	370	5	56654033.08
AKAP12	9590	Q02952	P	10000	19	50805988.69
SH3BGRL2	83699	Q9UJC5	P	2000	13	58476225.5
EEA1	8411	Q15075	P	20	22	15362487.5
APEX1	328	P27695	P	330	18	220854488.5
TECR	9524	Q9NZ01	P	10	16	42733293.77
HSPA9	3313	P38646	P	3600	34	46040277.38
RAC1	5879	P63000	P	3900	43	456707555.5
HSP90AA1	3320	P07900	P	71000	56	1670063739
MAPK3	5595	P27361	P	46	17	168592078.5
PSAP	5660	P07602	P	88000	34	87417585.86
GLIPR2	152007	Q9H4G4	P	19000	18	56529688.21
RPL23	9349	P62829	P	130	25	152942431.3
DSC2	1824	Q02487	P	24000	23	49801852.38
LIMS1	3987	P48059	P	10000	23	90336816.21
ATP5F1D	513	P30049	P	160	11	2704844.344
ARMT1	79624	Q9H993	P	410	13	73288630.83
BAG3	9531	O95817	P	460	15	22573632.88
RAB8B	51762	Q92930	P	4700	34	807895763.2
STOM	2040	P27105	P	16000	29	152731456
PPCS	79717	Q9HAB8	P	17	14	55688719.5
OLFM4	10562	Q6UX06	P	9.3	13	1431429010
ECM1	1893	Q16610	P	8700000	17	43394917.5
HSPA5	3309	P11021	P	790000	40	843171480.8
RMDN3	55177	Q96TC7	P	42	14	21334959.29
HPRT1	3251	P00492	P	9400	25	32815364.25
USP5	8078	P45974	P	1200	28	74942460.71
GSTK1	373156	Q9Y2Q3	P	110	22	48917095.08
MNDA	4332	P41218	P	400	17	86095045.33
GFUS	7264	Q13630	P	850	22	100137229.8
POR	5447	P16435	P	12	19	63998953.67
FKBP3	2287	Q00688	P	1300	24	46183770
TES	26136	Q9UGI8	P	34	19	48555937.75
LGALS3	3958	P17931	P	1900	35	129199078
FMOD	2331	Q06828	P	2600	6	207748400.3
PRCP	5547	P42785	P	42000	7	23739734.16
PLD3	23646	Q8IV08	P	450	25	37058008.75
TJP2	9414	Q9UDY2	P	580	38	17811207.15
AMBP	259	P02760	P	47000000	1	32780939
PSME1	5720	Q06323	P	7500	33	41929924.92
PGAM1	5223	P18669	P	120000	33	268185526.1
NDUFAB1	4706	O14561	P	100	11	10501765.75
PTP4A2	8073	Q12974	P	490	33	52193266.94
CORO1C	23603	Q9ULV4	P	13000	31	98299479.31
LRRC47	57470	Q8N1G4	P	29	25	61826683.58
COL4A1	1282	P02462	P	75	11	43210837.75
MTPN	136319	P58546	P	14000	21	100369461
C9	735	P02748	P	64000000	12	515903094.4
PPM1A	5494	P35813	P	380	2	27408608
MESD	23184	Q14696	P	1600	19	12795581.35
COMT	1312	P21964	P	43	20	201827900.5
PCK2	5106	Q16822	P	3500	22	34744584.32
TKFC	26007	Q3LXA3	P	6800	24	34883556.31
INSR	3643	P06213	P	190	23	15361009.31
PGK1	5230	P00558	P	170000	49	1397710655
DUSP3	1845	P51452	P	1300	17	37974411
MAN1A1	4121	P33908	P	460000	10	21314279
PTPRF	5792	P10586	P	160000	31	47472303.44
NDRG1	10397	Q92597	P	200	33	128940049.8
TOLLIP	54472	Q9H0E2	P	140	47	41666285.13
APOL2	23780	Q9BQE5	P	29000	12	21470418.5
COL6A3	1293	P12111	P	1000000	13	116302854
RPL14	9045	P50914	P	270	34	321405604.9
DAAM1	23002	Q9Y4D1	P	9.7	19	7275695.604
GDI1	2664	P31150	P	31000	32	187099016.7
B2M	567	P61769	P	2100000	27	451951791.9
ECHDC1	55862	Q9NTX5	P	56	30	60754148
FTH1	2495	P02794	P	5600	35	763707265
ATRN	8455	O75882	P	27000000	29	62581121.44
UBE2N	7334	P61088	P	1800	31	44101033.29
PIP4K2A	5305	P48426	P	4900	27	36550588
C11orf54	28970	Q9H0W9	P	1300	27	37861429.03
CNDP2	55748	Q96KP4	P	2600	29	56606018.54
SMARCA2	6595	P51531	P	19	12	45544724.09
STX7	8417	O15400	P	380	29	39032966.25
EMILIN1	11117	Q9Y6C2	P	4300	12	48294925.54
AGL	178	P35573	P	450	13	72024714
LAMP2	3920	P13473	P	520000	18	71367625.13
UBE2L3	7332	P68036	P	5800	28	48254264.41
RPL37A	6168	P61513	P	87	21	42989618
PPP1R12A	4659	O14974	P	270	11	29779545.78
SLC9A3R1	9368	O14745	P	940	29	42769671.81
COL1A1	1277	P02452	P	80000	18	25867809.75
ECE1	1889	P42892	P	1300	18	31955818.38
PTGFRN	5738	Q9P2B2	P	340	44	177330425.5
ARPC3	10094	O15145	P	3800	32	256170485.1
VPS29	51699	Q9UBQ0	P	110	25	337384301.2
ATP1B1	481	P05026	P	2100	38	142391015.5
CBR3	874	O75828	P	2800	25	300046204.3
HMGCS1	3157	Q01581	P	470	25	38435986.92
ITIH2	3698	P19823	P	32000000	35	673794904.7
ANXA7	310	P20073	P	290	33	171639270
PIR	8544	O00625	P	35	11	15112663.31
NCK2	8440	O43639	P	87	8	22895234.09
NAXE	128240	Q8NCW5	P	3300	18	25953932.66
ADK	132	P55263	P	920	21	232713998.3
PTGES3	10728	Q15185	P	660	34	334374369.8
NIBAN1	116496	Q9BZQ8	P	120	18	81196890.95
PBXIP1	57326	Q96AQ6	P	26	15	24815552.88
HSP90B1	7184	P14625	P	330000	33	396060497.3
LGALSL	29094	Q3ZCW2	P	4100	12	105350761
SCP2	6342	P22307	P	640	12	22257901.5
OPLAH	26873	O14841	P	34	19	33232617.98
BGN	633	P21810	P	3300	14	56765413.55
YWHAG	7532	P61981	P	66000	47	365296796
CD109	135228	Q6YHK3	P	180000	33	40946228
CDH1	999	P12830	P	78000	26	97165579.5
UBE2V1	7335	Q13404	NA	1100	16	62286714
LYPLAL1	127018	Q5VWZ2	P	8.6	10	100319115.8
C4A	720	P0C0L4	P	120000000	9	168531418.5
RDH11	51109	Q8TC12	P	340	16	18504925.94
PGD	5226	P52209	P	41000	34	235467455.3
HEBP2	23593	Q9Y5Z4	P	690	12	33341189.09
CHID1	66005	Q9BWS9	P	1500	19	23906569.25
CAPZA2	830	P47755	P	4500	30	96245073.23
SH3BGRL3	83442	Q9H299	P	41000	17	22794675.5
GAPDH	2597	P04406	P	1400000	50	4035282503
ITIH4	3700	Q14624	P	58000000	5	131384824.1
SLC2A1	6513	P11166	P	2000	37	103940664.9
PLTP	5360	P55058	P	210000	15	24814852.69
OPTN	10133	Q96CV9	P	370	14	4488501.026
UBA1	7317	P22314	P	14000	45	434744355.7
CPNE3	8895	O75131	P	71	31	105662451.9
MVD	4597	P53602	P	170	16	35494432.5
CAPZB	832	P47756	P	6600	29	133648587.2
HK1	3098	P19367	P	560	23	31443725.53
SIGLEC1	6614	Q9BZZ2	P	260	9	46481622
TGFBI	7045	Q15582	P	1600000	35	94141186.98
PRKACB	5567	P22694	P	130	27	72628209.48
CYB5R3	1727	P00387	P	1500	17	108294384.2
CAP1	10487	Q01518	P	73000	40	431370018.5
C7	730	P10643	P	48000000	2	227890026.7
BIN1	274	O00499	P	430	19	736541292.7
CORO1B	57175	Q9BR76	P	960	27	165179487
APRT	353	P07741	P	1600	30	392531728.7
IGFBP5	3488	P24593	P	380000	12	12051337.75
NIT2	56954	Q9NQR4	P	1700	13	87874911.08
RAB7A	7879	P51149	P	5700	42	394337177.3
TPI1	7167	P60174	P	170000	50	405946246.8
MTHFS	10588	P49914	P	13	15	30828179.63
RPLP2	6181	P05387	P	2900	34	472256171.3
UGP2	7360	Q16851	P	13000	41	102581729.7
HRG	3273	P04196	P	28000000	3	54542261.85
ME1	4199	P48163	P	3600	20	49581564.05
MSN	4478	P26038	P	130000	47	528370711
RPL22	6146	P35268	P	860	22	191107714
GLS	2744	O94925	P	92	12	23606795
NUMA1	4926	Q14980	P	62	19	20096282.25
PDIA3	2923	P30101	P	200000	40	230466125.9
ECI1	1632	P42126	P	7300	20	5290078.922
TPP1	1200	O14773	P	9500	18	331617236
SAR1A	56681	Q9NR31	P	660	23	78121030.63
GCLM	2730	P48507	P	1100	18	29754773.5
GYG1	2992	P46976	P	30	11	67999265
CFL1	1072	P23528	P	290000	45	970702312.6
SFN	2810	P31947	P	29000	30	372840282.1
SDHA	6389	P31040	P	360	13	29888627.18
IDH2	3418	P48735	P	5200	26	120466468.9
FAH	2184	P16930	P	220000	22	6168209.211
ANPEP	290	P15144	P	1200000	26	150535202.3
NDUFS2	4720	O75306	P	25	15	27713844
PREP	5550	P48147	P	1700	25	82087540.9
IQGAP2	10788	Q13576	P	3700	20	68535694.27
CANX	821	P27824	P	13000	32	134204426.2
FKBP5	2289	Q13451	P	39	14	82156903.75
VAPA	9218	Q9P0L0	P	580	16	40688522
PLCB1	23236	Q9NQ66	P	6.6	19	250264973.3
HSPA4L	22824	O95757	P	1000	24	47675934.05
LAMP1	3916	P11279	P	370000	34	174016804.7
SEC22B	9554	O75396	P	91	20	51162415.69
HP1BP3	50809	Q5SSJ5	P	30	19	82994254.79
CNP	1267	P09543	P	46	34	79850631.6
BST2	684	Q10589	P	260	10	77347628
ACTR1B	10120	P42025	P	49	33	172481564.1
FDPS	2224	P14324	P	1500	25	75350746.88
NES	10763	P48681	P	100	12	50019195.66
S100A6	6277	P06703	P	7000	27	850183209.3
YWHAZ	7534	P63104	P	320000	52	619088872.2
RNPEP	6051	Q9H4A4	P	7800	30	80984087.83
C4BPA	722	P04003	P	28000000	8	211921588.1
EPB41L2	2037	O43491	P	54	40	113746627.5
RNH1	6050	P13489	P	22000	31	92490786.21
S100A9	6280	P06702	P	1200000	20	74546665
NME3	4832	Q13232	P	12000	15	27861455.72
RPLP1	6176	P05386	P	2000	25	645374945.4
CLIC4	25932	Q9Y696	P	5800	31	151181773.9
ADAMTSL4	54507	Q6UY14	P	110000	8	59890698.38
HABP2	3026	Q14520	P	4400000	8	90657862.67
MYL6B	140465	P14649	P	7200	30	466946129.8
PSAT1	29968	Q9Y617	P	2400	40	83048329.61
C5	727	P01031	P	39000000	18	199678522.8
LANCL2	55915	Q9NS86	P	13	25	27544548.94
HSPG2	3339	P98160	P	1400000	43	149299080.8
ABCD3	5825	P28288	P	12	15	26598127.25
TUFM	7284	P49411	P	610	33	32231389.02
PDLIM5	10611	Q96HC4	P	1200	20	107029794.5
SERPINB6	5269	P35237	P	4800	24	32217088.63
FN3KRP	79672	Q9HA64	P	44	15	148396240.9
PPP1R14A	94274	Q96A00	P	880	7	6114938.387
GDI2	2665	P50395	P	53000	39	238166906.9
GNA13	10672	Q14344	P	320	41	532668741.8
HLA-DPB1	3115	P04440	P	470	13	79538054.66
PARVB	29780	Q9HBI1	P	24000	19	47229728
KYNU	8942	Q16719	P	590	23	52780143.02
RTN1	6252	Q16799	P	150	12	10768008.97
AEBP1	165	Q8IUX7	P	2700	10	38838550.33
KRAS	3845	P01116	P	3300	31	100254242.3
RNASE4	6038	P34096	P	61000	14	53465609
LAMA2	3908	P24043	P	55000	19	27609568.32
TP53I3	9540	Q53FA7	P	250	10	15044644.5
LMNA	4000	P02545	P	5700	39	38173626
CYC1	1537	P08574	P	45	7	14310258.79
MAP1B	4131	P46821	P	180	17	58325475.33
RAC2	5880	P15153	P	3300	30	395276408.1
NDUFS3	4722	O75489	P	14	16	9327793
FIS1	51024	Q9Y3D6	P	140	13	15261881.52
ACAA2	10449	P42765	P	3800	21	8179216
SSC5D	284297	A1L4H1	P	88000	11	46807061.25
F10	2159	P00742	P	13000000	8	194991060.7
BCHE	590	P06276	P	9400000	15	32818120.25
NANS	54187	Q9NR45	P	410	30	198505830.5
BCL2L13	23786	Q9BXK5	P	100	10	11752267.25
VAT1	10493	Q99536	P	2700	31	263329670.3
CAMK2D	817	Q13557	P	240	30	58314293.33
PTGR2	145482	Q8N8N7	P	36	2	41128147.21
DNPH1	10591	O43598	P	540	12	135555126
LPP	4026	Q93052	P	2700	13	76941500
NEDD8	4738	Q15843	P	990	16	30224930.63
DLAT	1737	P10515	P	44	8	55822763
UQCRC1	7384	P31930	P	250	16	18337621.88
LAP3	51056	P28838	P	3500	25	134856435.9
ANXA2	302	P07355	P	19000	49	1660557425
NPC2	10577	P61916	P	53000	19	32851718.44
PAFAH1B1	5048	P43034	P	860	44	97917541.67
SERPIND1	3053	P05546	P	50000000	8	218731436
SERPINF2	5345	P08697	P	61000000	1	341602141
PCYOX1	51449	Q9UHG3	P	510000	16	56769366.02
MSRA	4482	Q9UJ68	P	55	6	88109288.75
MYO1C	4641	O00159	P	3800	32	109165786.9
ITGA1	3672	P56199	P	6300	34	67810295.02
TINAGL1	64129	Q9GZM7	P	370	36	70978756.1
RALB	5899	P11234	P	440	36	67916628.5
F13A1	2162	P00488	P	1400000	17	209989730.8
PSMB6	5694	P28072	P	1400	37	140930907.4
ESD	2098	P10768	P	12000	32	432227659.5
HPR	3250	P00739	P	55000000	14	276671067.6
NAXD	55739	Q8IW45	P	390	15	51014620.25
PPIA	5478	P62937	P	230000	56	1655435912
SOD2	6648	P04179	P	55000	9	59941083.88
VIM	7431	P08670	P	35000	38	234585867.5
ABHD10	55347	Q9NUJ1	P	71	7	20675831.44
MT-CO2	4513	P00403	P	240	23	55606669.19
CD47	961	Q08722	P	49	25	213233772.9
SCRN1	9805	Q12765	P	160	26	23900108.31
LASP1	3927	Q14847	P	9400	35	42359339.36
IDH3A	3419	P50213	P	110	17	13002904.75
HMGCL	3155	P35914	P	34	8	26563462.33
NT5C	30833	Q8TCD5	P	760	13	61882746.61
LANCL1	10314	O43813	P	22	16	108306028
PRKAR2A	5576	P13861	P	210	29	98352825.39
TXNDC5	81567	Q8NBS9	P	6900	25	41531513.5
CMPK1	51727	P30085	P	1400	30	44193978.33
YWHAB	7529	P31946	P	97000	45	444066270.7
CNRIP1	25927	Q96F85	P	54	10	36217535.69
PPA2	27068	Q9H2U2	P	150	20	177367163.2
IDH3B	3420	O43837	P	8.3	12	8917828.125
ARPC2	10109	O15144	P	6600	28	169188468.5
DDAH2	23564	O95865	P	1500	35	81447286.96
ACTN1	87	P12814	P	210000	50	131293059.3
UQCRB	7381	P14927	P	2200	16	14394284.53
NSFL1C	55968	Q9UNZ2	P	1900	19	15289683.23
F5	2153	P12259	P	13000000	20	251319577.1
PTGR1	22949	Q14914	P	2400	26	56480068.58
POSTN	10631	Q15063	P	660000	9	112572112.9
MPST	4357	P25325	P	2900	29	99598965.53
FH	2271	P07954	P	1800	31	26854626.5
TPM4	7171	P67936	P	370000	41	143072967
AGRN	375790	O00468	P	20000	41	54053863.16
S100A8	6279	P05109	P	370000	16	76039200.17
G6PD	2539	P11413	P	2400	39	196047120.8
HTRA1	5654	Q92743	P	7600	19	40104812.15
CHCHD3	54927	Q9NX63	P	13	12	8436324.5
IMPA1	3612	P29218	P	310	17	24113745.5
SLC25A3	5250	Q00325	P	83	19	40677423.69
PRKCA	5578	P17252	P	190	18	36423863.71
FASN	2194	P49327	P	3400	53	356841600.6
VDAC3	7419	Q9Y277	P	1200	11	47984513.13
AIFM1	9131	O95831	P	230	20	23957977.74
VCP	7415	P55072	P	34000	44	236774513
GNB1	2782	P62873	P	1900	44	766872252.6
AHCY	191	P23526	P	5000	44	972682713.8
CSTB	1476	P04080	P	8700	28	86100565.75
IGSF8	93185	Q969P0	P	280	38	45796551.5
PDE5A	8654	O76074	P	850	10	47270260.96
ISOC1	51015	Q96CN7	P	1900	19	17376159.83
DLD	1738	P09622	P	10000	13	24784328.13
CD81	975	P60033	P	400	57	670171542.6
TOM1L2	146691	Q6ZVM7	P	73	23	14463194.14
PFN1	5216	P07737	P	660000	41	1603327618
PCCA	5095	P05165	P	290	2	40133700.33
CISD1	55847	Q9NZ45	P	13	18	39184447.81
PARVA	55742	Q9NVD7	P	7300	26	48123031.5
APOB	338	P04114	P	100000000	23	62823086.08
CACNA2D1	781	P54289	P	390000	20	32940712.2
C3	718	P01024	P	200000000	42	434625587.2
ADD3	120	Q9UEY8	P	260	17	22414114.33
OAT	4942	P04181	P	12	21	51898044.81
RBBP9	10741	O75884	P	40	2	122311391.3
